MaTinhThanh;TenTinhThanh;F2046_2065;F2080_2099;F2016_2035;N2016_2035;N2046_2065;N2080_2099
Da Nang City|Da Nang;?à N?ng;22.7;25.5;16.2;0.7;1.4;1.9
Dong Nai;??ng Nai;16.1;18.9;14.4;0.7;1.5;1.9
Dong Thap;??ng Tháp;17.9;17.2;10;0.7;1.4;1.8
Dac Nong;??k Nông;7.6;10.1;6.5;0.7;1.4;1.8
Dak Lak|Dac Lac;??k L?k;11.3;11.5;6.5;0.7;1.4;1.9
Dien Bien;?i?n Biên;16.5;15.1;5.9;0.7;1.7;2.3
An Giang;An Giang;13.1;14.1;4.7;0.7;1.4;1.9
Ba Ria - VTau|Ba Ria-Vung Tau;Bà R?a - V?ng Tàu;14.5;17.5;17.5;0.7;1.3;1.7
Binh Dinh;Bình ??nh;20.4;23;14.9;0.7;1.4;1.8
Binh Duong;Bình D??ng;14.1;16.6;9.6;0.7;1.5;1.9
Binh Phuoc;Bình Ph??c;13.6;17.7;14.1;0.7;1.5;1.9
Binh Thuan;Bình Thu?n;13.6;17.7;14.1;0.7;1.3;1.7
Bac Lieu;B?c Liêu;11;13.6;9.6;0.7;1.4;1.8
Bac Giang;B?c Giang;18.8;25.7;17.7;0.7;1.7;2.3
Bac Kan|Bac Can;B?c K?n;18.3;23.7;17.4;0.7;1.7;2.3
Bac Ninh;B?c Ninh;16.1;25.1;15.9;0.7;1.7;2.3
Ben Tre;B?n Tre;18.2;21.2;17;0.7;1.4;1.8
Ca Mau;Cà Mau;5.8;9.6;8.4;0.7;1.4;1.8
Cao Bang;Cao B?ng;16;22.1;14.2;0.7;1.7;2.3
Can Tho;C?n Th?;13.7;15.1;10.5;0.7;1.4;1.8
Gia Lai;Gia Lai;11;12.1;8.3;0.7;1.4;1.8
Ha Giang;Hà Giang;7.8;11.8;5.8;0.7;1.7;2.3
Ha Noi City|Hanoi;Hà N?i;17;24;12.6;0.7;1.7;2.4
Ha Nam;Hà Nam;17.6;24.7;14;0.7;1.7;2.4
Ha Tinh;Hà T?nh;16.3;13;11.3;0.7;1.5;2
Ho Chi Minh City|Ho Chi Minh;H? Chí Minh city;18.8;22.7;16.7;0.7;1.5;1.9
Hoa Binh;Hòa Bình;12.9;20.2;7.5;0.7;1.6;2.3
Hung Yen;H?ng Yên;16.3;25.3;13.8;0.7;1.7;2.3
Hai Duong;H?i D??ng;18.7;27.8;17.4;0.7;1.7;2.3
Hai Phong City|Haiphong;H?i Phòng;26.4;34.3;24.4;0.7;1.5;2
Hau Giang;H?u Giang;8.8;10.5;10.1;0.7;1.4;1.8
Khanh Hoa;Khánh Hòa;14.4;11;9.1;0.7;1.4;1.8
Kien Giang;Kiên Giang;9.2;17;4.9;0.7;1.3;1.8
Kon Tum;Kon Tum;12;14.1;7.2;0.7;1.5;1.9
Lao Cai;Lào Cai;8.2;9.3;1.8;0.7;1.7;2.3
Lam Dong;Lâm ??ng;6.5;7.8;3.9;0.7;1.5;1.9
Lai Chau;Lai Châu;13.5;11.2;3.3;0.7;1.7;2.3
Lang Son;L?ng S?n;18.7;25.1;18.7;0.7;1.7;2.3
Long An;Long An;20.6;16.7;11.7;0.7;1.4;1.9
Nam Dinh;Nam ??nh;21.1;27.5;16;0.7;1.6;2.2
Nghe An;Ngh? An;16.8;18.1;10.2;0.7;1.6;2.2
Ninh Binh;Ninh Bình;16.5;22;11.2;0.7;1.6;2.3
Ninh Thuan;Ninh Thu?n;12.3;12.3;7.2;0.7;1.4;1.8
Phu Tho;Phú Th?;15;21.3;10;0.7;1.8;2.4
Phu Yen;Phú Yên;13.4;14.4;10;0.7;1.3;1.8
Quang Binh;Qu?ng Bình;12.6;10.9;10.1;0.7;1.5;2
Quang Nam;Qu?ng Nam;24.9;29.9;18.2;0.7;1.4;1.8
Quang Ngai;Qu?ng Ngãi;25.2;29.5;18;0.7;1.4;1.9
Quang Ninh;Qu?ng Ninh;19.1;29.8;20.4;0.7;1.6;2.1
Quang Tri;Qu?ng Tr?;16.6;20.1;11.4;0.7;1.4;1.9
Soc Trang;Sóc Tr?ng;10.6;14.3;11.1;0.7;1.4;1.8
Son La;S?n La;15.5;19.9;7;0.7;1.6;2.3
Tay Ninh;Tây Ninh;14.1;16;9.4;0.7;1.4;1.9
Thai Binh;Thái Bình;20.1;27.6;19.8;0.7;1.6;2.3
Thai Nguyen;Thái Nguyên;17.8;22.5;15.9;0.7;1.7;2.4
Thua Thien - Hue;Th?a Thiên - Hu?;22.5;26.2;17;0.7;1.4;1.9
Thanh Hoa;Thanh Hóa;17.6;21.3;10.1;0.7;1.6;2.2
Tien Giang;Ti?n Giang;17.1;16.1;13.7;0.7;1.4;1.9
Tra Vinh;Trà Vinh;15.7;17.7;10.9;0.7;1.4;1.8
Tuyen Quang;Tuyên Quang;12.5;18.4;11.5;0.7;1.7;2.4
Vinh Long;V?nh Long;14.1;16;8.5;0.7;1.4;1.8
Vinh Phuc;V?nh Phúc;18.2;22.4;14.8;0.7;1.7;2.4
Yen Bai;Yên Bái;14.8;19.4;7.5;0.7;1.7;2.3
